"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2013","Homicide Firearm","2002","30","2934234","1.02"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2013","Homicide Firearm","2002","74","2713535","2.73"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2013","Homicide Firearm","2002","127","4089875","3.11"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2013","Homicide Firearm","2002","467","4497267","10.38"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2013","Homicide Firearm","2002","P","1295960","."
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2013","Homicide Firearm","2002","365","5440389","6.71"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2013","Homicide Firearm","2002","94","6417206","1.46"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2013","Homicide Firearm","2002","489","10015710","4.88"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2013","Homicide Firearm","2002","55","5018935","1.1"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2013","Homicide Firearm","2002","208","2858681","7.28"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2013","Homicide Firearm","2002","253","5674825","4.46"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2013","Homicide Firearm","2002","P","911667","."
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2013","Homicide Firearm","2002","27","1728292","1.56"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2013","Homicide Firearm","2002","114","2173791","5.24"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2013","Homicide Firearm","2002","P","1269089","."
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2013","Homicide Firearm","2002","208","8552643","2.43"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2013","Homicide Firearm","2002","81","1855309","4.37"
"Both Sexes","All Races","New York","Both","All Ages","1999","2013","Homicide Firearm","2002","550","19137800","2.87"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2013","Homicide Firearm","2002","467","8326201","5.61"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2013","Homicide Firearm","2002","P","638168","."
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2013","Homicide Firearm","2002","353","11407889","3.09"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2013","Homicide Firearm","2002","113","3489080","3.24"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2013","Homicide Firearm","2002","64","3513424","1.82"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2013","Homicide Firearm","2002","456","12331031","3.7"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2013","Homicide Firearm","2002","25","1065995","2.35"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2013","Homicide Firearm","2002","227","4107795","5.53"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2013","Homicide Firearm","2002","P","760020","."
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2013","Homicide Firearm","2002","323","5795918","5.57"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2013","Homicide Firearm","2002","889","21690325","4.1"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2013","Homicide Firearm","2002","27","2324815","1.16"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2013","Homicide Firearm","2002","P","615442","."
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2013","Homicide Firearm","2002","286","7286873","3.92"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2013","Homicide Firearm","2002","110","6052349","1.82"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2013","Homicide Firearm","2002","66","1805414","3.66"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2013","Homicide Firearm","2002","122","5445162","2.24"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2013","Homicide Firearm","2002","P","500017","."
"Both Sexes","All Races","","Both","All Ages","1999","2013","Homicide Firearm","2002","11829","287625193","4.11"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2013","Homicide Firearm","2003","322","4503491","7.15"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2013","Homicide Firearm","2003","32","648414","4.94"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2013","Homicide Firearm","2003","324","5510364","5.88"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2013","Homicide Firearm","2003","123","2724816","4.51"
"Both Sexes","All Races","California","Both","All Ages","1999","2013","Homicide Firearm","2003","1782","35253159","5.05"
